ApostleStrength,DrillStrength(%),liquidity,CostOfGold,YielfOfGold,CostOfRing,DailyROI(%),WeeklyROI(%),YearlyROI(%)
1.1649,6,50,50,0.07,50,0.07,0.49,25.51
1.1649,6,60,60,0.07,60,0.06,0.41,21.26
1.1649,6,70,70,0.07,70,0.05,0.35,18.22
1.1649,6,80,80,0.07,80,0.04,0.31,15.94
1.1649,6,90,90,0.07,90,0.04,0.27,14.17
1.1649,6,100,100,0.07,100,0.03,0.24,12.76
1.1649,6,110,110,0.07,110,0.03,0.22,11.6
1.1649,6,120,120,0.07,120,0.03,0.2,10.63
1.1649,6,130,130,0.07,130,0.03,0.19,9.81
1.1649,6,140,140,0.07,140,0.02,0.17,9.11
1.1649,6,150,150,0.07,150,0.02,0.16,8.5
1.1649,6,160,160,0.07,160,0.02,0.15,7.97
1.1649,6,170,170,0.07,170,0.02,0.14,7.5
1.1649,6,180,180,0.07,180,0.02,0.14,7.09
1.1649,6,190,190,0.07,190,0.02,0.13,6.71
1.1649,6,200,200,0.07,200,0.02,0.12,6.38
1.1649,6,210,210,0.07,210,0.02,0.12,6.07
1.1649,6,220,220,0.07,220,0.02,0.11,5.8
1.1649,6,230,230,0.07,230,0.02,0.11,5.55
1.1649,6,240,240,0.07,240,0.01,0.1,5.31
1.1649,6,250,250,0.07,250,0.01,0.1,5.1
1.1649,6,260,260,0.07,260,0.01,0.09,4.91
1.1649,6,270,270,0.07,270,0.01,0.09,4.72
1.1649,6,280,280,0.07,280,0.01,0.09,4.56
1.1649,6,290,290,0.07,290,0.01,0.08,4.4
1.1649,6,300,300,0.07,300,0.01,0.08,4.25
1.1649,6,310,310,0.07,310,0.01,0.08,4.11
1.1649,6,320,320,0.07,320,0.01,0.08,3.99
1.1649,6,330,330,0.07,330,0.01,0.07,3.87
1.1649,6,340,340,0.07,340,0.01,0.07,3.75
1.1649,6,350,350,0.07,350,0.01,0.07,3.64
1.1649,6,360,360,0.07,360,0.01,0.07,3.54
1.1649,6,370,370,0.07,370,0.01,0.07,3.45
